 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -9.9491 0.3192 0.0057 -10.5394 -9.3077 2840.8366 0.9997
Rc 13.8451 0.3928 0.0075 13.0151 14.5596 2677.4242 0.9997
w_n_t_1 0.6872 0.1201 0.0018 0.4584 0.9198 3325.8696 1.0004
w_a_t_1 1.7433 0.1103 0.002 1.5176 1.9492 3275.2783 0.9997
w_d_t_1 -1.0862 0.0732 0.0012 -1.2261 -0.9412 3287.5092 0.9997
w_c_t_1 6.0516 0.4944 0.0101 5.1512 7.1005 2228.9895 0.9997
y_c_t_1 3.0726 0.4211 0.0084 2.2396 3.8691 2291.6889 1.0001
Node -3.5976 0.2106 0.0042 -3.9854 -3.1545 2048.2955 0.9998
Under_Supply -9.4077 0.3742 0.0088 -10.1429 -8.6587 1614.8188 0.9998
Flow 6.1647 0.5085 0.0114 5.1738 7.1291 1534.2671 0.9997
Arc -1.1363 0.1542 0.0029 -1.4376 -0.8346 2810.7961 0.9997
