 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.1214 0.1523 0.0031 -1.401 -0.8129 1961.3053 1.0002
Rc 9.365 0.2055 0.0042 8.9766 9.777 2436.3931 0.9999
w_n_t_1 0.4017 0.1267 0.0026 0.1521 0.6407 2550.7224 0.9997
w_a_t_1 2.5894 0.1022 0.0023 2.3915 2.7904 2078.5094 0.9997
w_d_t_1 -1.7242 0.0583 0.0012 -1.8332 -1.6068 2105.4269 1.0001
w_c_t_1 2.1914 0.33 0.0072 1.5747 2.8607 1651.1928 0.9997
y_c_t_1 -3.1143 0.3069 0.0074 -3.7018 -2.4922 1752.1665 0.9997
Node -0.9138 0.1013 0.0023 -1.0923 -0.6947 2087.1403 0.9997
Under_Supply -4.6368 0.1408 0.0033 -4.9281 -4.3787 1501.3851 0.9997
Flow 1.2136 0.1704 0.0036 0.8855 1.5468 1879.5924 1.0
Arc -0.309 0.0894 0.002 -0.4843 -0.126 2232.5421 0.9997
