 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -20.0179 0.6736 0.0163 -21.3232 -18.6342 1627.3977 1.0007
Rc 16.6831 0.5054 0.0114 15.7361 17.698 1748.1439 0.9998
w_n_t_1 -0.3249 0.3581 0.0063 -1.0457 0.36 2832.2786 0.9997
w_a_t_1 0.4772 0.0889 0.0017 0.3172 0.6582 2588.3021 0.9999
w_d_t_1 11.1315 1013.7423 18.2703 -1915.2618 2016.0998 3001.0893 1.0
w_c_t_1 9.9897 0.4973 0.0114 8.9793 10.9368 2107.8691 1.0
y_c_t_1 10.6722 0.5248 0.0106 9.6379 11.7175 1911.4736 0.9997
Node -5.8828 0.333 0.0078 -6.5244 -5.2357 1526.8878 1.0014
Under_Supply -12.2489 0.4853 0.0119 -13.2778 -11.3383 1342.4514 1.0021
Flow 7.0445 0.7755 0.0207 5.6089 8.6617 1227.0187 1.0012
Arc -3.0676 0.2189 0.0049 -3.4779 -2.6169 1903.8852 1.0004
