 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.4472 0.1967 0.005 -1.822 -1.0577 1620.3871 0.9997
Rc 15.0603 0.3479 0.007 14.3567 15.7124 2897.4147 0.9999
w_n_t_1 0.6718 0.0832 0.0015 0.5129 0.8389 3120.6837 0.9997
w_a_t_1 0.6642 0.0715 0.0014 0.5227 0.7983 2852.4296 0.9997
w_d_t_1 -7.4531 984.795 17.025 -1909.8904 1933.5312 2940.6864 0.9998
w_c_t_1 0.5649 0.3534 0.01 -0.1052 1.2797 1475.7445 0.9997
y_c_t_1 0.6737 0.3469 0.0095 0.0236 1.3731 1617.272 0.9997
Node 0.0936 0.0844 0.0019 -0.0694 0.2581 2001.1822 0.9999
Under_Supply -3.4304 0.1908 0.0047 -3.7956 -3.0528 1521.5656 0.9997
Flow 0.9921 0.112 0.0021 0.7724 1.2111 2710.1754 0.9998
Arc -0.2324 0.0751 0.0015 -0.3807 -0.0857 2385.3941 1.0001
