 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.8 0.1315 0.0026 -2.0467 -1.5429 2158.1149 0.9999
Rc 9.2059 0.2049 0.0038 8.8334 9.6233 2833.1304 1.0018
w_n_t_1 1.1144 0.1067 0.0019 0.9155 1.3262 3020.4057 1.0
w_a_t_1 3.1511 0.1125 0.0023 2.9267 3.3589 2283.0832 0.9998
w_d_t_1 -0.6982 0.0885 0.0017 -0.8757 -0.5313 2906.2043 0.9997
w_c_t_1 -0.5596 0.3084 0.0075 -1.167 0.0311 1449.6584 1.0008
y_c_t_1 -1.8725 0.2944 0.0071 -2.4405 -1.3028 1370.0068 1.0
Node -0.663 0.0915 0.002 -0.8368 -0.4808 2242.7728 0.9997
Under_Supply -3.235 0.1332 0.003 -3.4812 -2.964 1863.1992 1.0
Flow 1.0639 0.1315 0.0026 0.8256 1.3285 2754.2596 0.9998
Arc -0.1102 0.0822 0.0017 -0.2679 0.0543 2331.6255 0.9997
