 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.3031 0.175 0.0043 -0.6487 0.0256 1622.5893 0.9998
Rc 27.3769 0.5634 0.0104 26.2674 28.4564 3013.5925 0.9998
w_n_t_1 1.3351 0.1145 0.0021 1.1069 1.5596 2440.2252 1.0011
w_a_t_1 2.5028 0.1174 0.0022 2.2747 2.7269 2850.0764 0.9997
w_d_t_1 -1.2439 0.0612 0.0011 -1.3634 -1.129 2919.2497 0.9997
w_c_t_1 -1.9984 0.2677 0.0057 -2.5226 -1.4966 1906.1985 0.9997
y_c_t_1 0.403 0.2658 0.0053 -0.113 0.9127 2071.7048 1.0004
Node -0.2795 0.0971 0.0019 -0.4669 -0.0979 2776.1179 0.9997
Under_Supply -6.6114 0.219 0.0054 -7.0919 -6.2331 1572.1334 1.0001
Flow 2.1457 0.1477 0.0026 1.8694 2.4511 2881.3179 0.9997
Arc -0.1067 0.0894 0.0017 -0.2934 0.0566 2643.4792 0.9997
