 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.9538 0.1637 0.0034 -1.2708 -0.632 2028.6294 1.0002
Rc 19.2517 0.3874 0.0072 18.4783 19.9879 2546.5583 1.0002
w_n_t_1 1.7722 0.1448 0.003 1.465 2.034 2352.2807 0.9998
w_a_t_1 3.6098 0.1335 0.0026 3.3516 3.864 2079.7895 0.9997
w_d_t_1 -0.9356 0.0674 0.0013 -1.0588 -0.7942 2999.7454 0.9999
w_c_t_1 0.4757 0.3017 0.0081 -0.1345 1.0639 1544.2952 1.0007
y_c_t_1 -3.0172 0.2996 0.007 -3.5732 -2.3907 1798.5543 1.0
Node -0.7984 0.1117 0.0022 -1.0152 -0.5769 2405.9822 1.0
Under_Supply -7.3475 0.2132 0.0045 -7.7495 -6.9266 1592.5759 0.9999
Flow 2.4889 0.1776 0.0033 2.1277 2.8247 2317.6909 0.9997
Arc -0.1552 0.0976 0.0018 -0.3449 0.0336 2299.9202 0.9997
