 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.1855 0.1874 0.004 -2.5678 -1.8339 1827.9024 1.0012
Rc 14.4223 0.2994 0.0054 13.8651 15.0445 2700.9723 0.9999
w_n_t_1 0.6203 0.0832 0.0016 0.4573 0.7791 2466.4071 1.0006
w_a_t_1 1.3538 0.0789 0.0013 1.2049 1.5116 2715.3506 0.9998
w_d_t_1 11.8964 998.7747 20.4271 -1876.9404 2008.5995 2925.0926 0.9997
w_c_t_1 3.2934 0.428 0.0092 2.4855 4.1727 1668.1679 1.0005
y_c_t_1 -0.5086 0.3758 0.0073 -1.23 0.2159 2055.2067 0.9997
Node -1.2621 0.1105 0.0024 -1.4824 -1.0518 2284.8454 1.0006
Under_Supply -6.5183 0.1995 0.0045 -6.929 -6.151 1717.6266 1.0013
Flow 2.1593 0.1606 0.003 1.8402 2.4726 2639.6845 1.0
Arc 0.0226 0.0905 0.0017 -0.1584 0.1951 2036.8373 1.0001
