 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -13.581 0.3721 0.008 -14.2796 -12.8383 1719.1402 1.0002
Rc 3.2288 0.1695 0.0037 2.9066 3.5791 2005.918 0.9997
w_n_t_1 -0.4323 0.1495 0.0025 -0.7282 -0.1507 2539.0795 1.0002
w_a_t_1 1.0172 0.1459 0.0028 0.7484 1.3073 3020.8879 0.9997
w_d_t_1 8.2451 959.8793 15.3613 -1946.7405 1843.4497 3566.7921 1.0007
w_c_t_1 6.33 0.7611 0.0218 4.7654 7.7414 1141.7419 1.0006
y_c_t_1 1.3814 0.6776 0.018 0.0479 2.6799 1530.5883 0.9999
Node -0.8246 0.221 0.0052 -1.2392 -0.3721 1808.8221 0.9997
Under_Supply -0.6503 0.2893 0.0082 -1.2155 -0.0813 1171.2347 1.0002
Flow 4.7966 0.4264 0.0109 3.9264 5.6025 1281.3424 0.9998
Arc 1.249 0.1868 0.0041 0.884 1.5952 2107.7962 1.0002
