 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.8561 0.2172 0.0038 -6.2765 -5.4467 2691.5703 1.0001
Rc 12.888 0.3472 0.007 12.2417 13.5453 2508.7325 0.9997
w_n_t_1 0.5828 0.1179 0.0021 0.3478 0.8095 2930.662 1.0
w_a_t_1 2.8106 0.1139 0.0023 2.5702 3.0265 2622.5759 0.9997
w_d_t_1 -19.4039 996.4004 18.5721 -1948.5169 1869.7383 3405.1427 1.0001
w_c_t_1 4.2712 0.4324 0.0091 3.4585 5.1379 2203.9597 1.0002
y_c_t_1 -0.9771 0.3855 0.0083 -1.7253 -0.1978 2340.336 1.0001
Node -2.7178 0.1874 0.0039 -3.0757 -2.3501 2175.0962 1.0003
Under_Supply -8.3938 0.28 0.0061 -8.9554 -7.8375 1995.218 0.9997
Flow 2.9383 0.4368 0.011 2.075 3.7978 1593.0884 1.0002
Arc -0.6684 0.1315 0.0029 -0.9244 -0.4063 2669.1007 0.9997
