 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.9217 0.1622 0.0045 -1.2554 -0.6189 1344.4283 1.0033
Rc 8.8246 0.2182 0.0044 8.4187 9.2701 2438.9507 1.0006
w_n_t_1 0.4621 0.0532 0.0012 0.3584 0.5641 1992.481 0.9997
w_a_t_1 1.1465 0.0528 0.0011 1.0391 1.2473 2542.625 0.9997
w_d_t_1 1.2091 1010.6631 15.4107 -1897.7985 1957.831 3445.9261 0.9997
w_c_t_1 -0.9137 0.3471 0.011 -1.6032 -0.2416 1050.0673 1.0009
y_c_t_1 0.809 0.3275 0.0099 0.195 1.4662 1121.4542 1.0001
Node -0.1667 0.08 0.0017 -0.3187 -0.017 1964.0486 0.9998
Under_Supply -3.0326 0.1537 0.0043 -3.3236 -2.7236 1324.6398 1.0025
Flow 0.8297 0.105 0.002 0.6401 1.0459 2389.7611 1.0002
Arc 0.0641 0.0723 0.0015 -0.0775 0.2089 2356.6121 1.001
