 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.0115 0.1403 0.0029 -2.2882 -1.731 2395.3243 0.9997
Rc 11.7365 0.249 0.004 11.2321 12.2068 2818.6251 0.9997
w_n_t_1 1.5564 0.1306 0.0021 1.2873 1.7955 3172.0951 1.001
w_a_t_1 3.2717 0.1235 0.0028 3.0226 3.5104 2043.89 0.9998
w_d_t_1 -15.125 994.3145 17.1883 -1975.2706 1973.9348 3121.7602 0.9997
w_c_t_1 -0.5669 0.3511 0.0084 -1.262 0.1035 1799.0033 0.9998
y_c_t_1 -1.772 0.3273 0.0083 -2.4537 -1.1608 1696.0631 0.9997
Node -1.068 0.1042 0.002 -1.2733 -0.8652 2459.2176 0.9999
Under_Supply -5.4662 0.1503 0.0038 -5.7505 -5.1611 1738.8287 0.9997
Flow 2.1146 0.1617 0.0035 1.7925 2.4345 2065.6502 0.9997
Arc 0.0139 0.0891 0.0017 -0.1497 0.1977 2328.6381 0.9997
