 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.4966 0.1802 0.0044 -2.8337 -2.127 1556.0439 1.0002
Rc 12.8146 0.2856 0.005 12.2605 13.3637 2871.5076 1.0
w_n_t_1 0.6171 0.0749 0.0016 0.4707 0.759 2518.9461 0.9997
w_a_t_1 0.8957 0.0718 0.0011 0.7563 1.0382 3064.3724 0.9997
w_d_t_1 -46.8143 1009.5262 21.4103 -2022.0817 1854.5198 2620.9056 1.0001
w_c_t_1 0.7614 0.3734 0.0094 0.002 1.4606 1531.8009 0.9998
y_c_t_1 1.6048 0.3395 0.0078 0.9235 2.24 1756.4754 0.9998
Node -0.5847 0.0868 0.0018 -0.7637 -0.4216 1998.4377 0.9997
Under_Supply -3.1191 0.1792 0.0044 -3.4627 -2.7837 1548.997 0.9997
Flow 1.3802 0.1166 0.0024 1.1545 1.61 2357.6591 1.0005
Arc 0.2037 0.0771 0.0016 0.0455 0.3431 2174.0334 0.9997
