 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.7769 0.2313 0.0059 0.3018 1.1833 1430.5992 0.9997
Rc 26.3987 0.603 0.0108 25.3215 27.6958 2673.248 0.9997
w_n_t_1 1.3501 0.1146 0.002 1.1251 1.5643 2754.4056 0.9998
w_a_t_1 2.7039 0.1212 0.0023 2.4687 2.9315 2046.8838 0.9997
w_d_t_1 -18.155 983.7548 22.2089 -1964.3784 1879.2578 2124.1222 0.9997
w_c_t_1 -3.3034 0.3648 0.0072 -4.0114 -2.5954 2175.5255 1.0003
y_c_t_1 -1.5066 0.3596 0.0081 -2.2141 -0.8066 1900.0661 1.0002
Node 0.0385 0.0927 0.0021 -0.1415 0.2196 2057.557 0.9997
Under_Supply -4.4177 0.2215 0.0059 -4.8308 -3.9986 1373.052 0.9997
Flow 0.8064 0.1176 0.0029 0.5654 1.0142 2004.959 0.9998
Arc 0.2273 0.0804 0.002 0.0672 0.3903 1829.1763 0.9997
