 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -19.4375 0.5939 0.014 -20.6387 -18.3096 1491.3077 0.9997
Rc 18.4908 0.5306 0.0105 17.4777 19.5451 2176.7184 0.9998
w_n_t_1 0.1488 0.0871 0.0016 -0.0228 0.3141 2916.9975 0.9999
w_a_t_1 0.7616 0.0875 0.0017 0.5804 0.931 2628.4194 1.0005
w_d_t_1 -0.6253 1004.0984 17.2477 -1839.0943 2014.7493 3245.1661 0.9997
w_c_t_1 10.2983 0.5683 0.0118 9.1684 11.3598 2131.4813 1.0002
y_c_t_1 10.2277 0.4685 0.009 9.3205 11.1338 2334.9018 1.0
Node -6.5566 0.3218 0.0073 -7.1605 -5.9254 1569.6971 1.0
Under_Supply -13.6676 0.4708 0.0127 -14.6077 -12.7978 1240.2711 1.0008
Flow 6.3316 0.696 0.0175 4.9638 7.6656 1286.8152 1.0011
Arc -2.6574 0.2006 0.0047 -3.069 -2.2847 1732.1723 1.0007
