 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.6764 0.1821 0.0048 0.3513 1.0472 1570.2836 0.9998
Rc 18.647 0.3772 0.0078 17.8867 19.3655 2245.9 0.9997
w_n_t_1 0.9286 0.094 0.0018 0.7488 1.1019 2690.9744 0.9997
w_a_t_1 1.9438 0.0897 0.0021 1.765 2.1177 1975.6247 0.9997
w_d_t_1 -1.3533 0.0623 0.0015 -1.4765 -1.2319 1943.5787 0.9997
w_c_t_1 -0.2008 0.2814 0.007 -0.7422 0.3305 1718.8488 0.9999
y_c_t_1 -0.0426 0.2844 0.0073 -0.605 0.5157 1725.0704 1.0
Node -1.5477 0.1155 0.0026 -1.7765 -1.327 2022.8371 0.9998
Under_Supply -9.8821 0.233 0.0064 -10.3326 -9.4348 1087.0297 1.0001
Flow 2.8982 0.1836 0.004 2.5283 3.2401 1817.0654 1.0004
Arc -0.2671 0.0945 0.0023 -0.4669 -0.0894 1662.6419 1.0007
