 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -15.6846 0.4236 0.0103 -16.4279 -14.8116 1834.8537 0.9999
Rc 4.2003 0.1904 0.0043 3.832 4.5754 1971.4977 1.0017
w_n_t_1 -0.1594 0.1534 0.0031 -0.4802 0.1175 2437.7821 0.9997
w_a_t_1 2.6865 0.1404 0.0032 2.41 2.9618 1935.8302 1.002
w_d_t_1 9.2347 997.6581 19.4765 -2051.3032 1936.4117 2454.5597 1.0
w_c_t_1 11.2508 0.8201 0.0241 9.711 12.9382 1265.2806 1.001
y_c_t_1 -2.0408 0.6473 0.0159 -3.2976 -0.7414 1584.8349 1.0017
Node -1.8022 0.2189 0.005 -2.2307 -1.3763 1734.8775 0.9997
Under_Supply -2.3385 0.3002 0.0089 -2.9215 -1.7635 1218.625 1.0003
Flow 5.801 0.4386 0.0114 4.9861 6.6862 1380.4322 1.0002
Arc 1.1881 0.1566 0.0035 0.8806 1.4982 2122.118 1.0001
