 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -19.0946 0.5363 0.013 -20.1406 -18.0568 1562.9512 1.0022
Rc 18.9128 0.5272 0.012 17.8603 19.9074 2028.6019 1.0015
w_n_t_1 0.8942 0.078 0.0015 0.7457 1.0479 2474.5073 1.0
w_a_t_1 0.9909 0.0821 0.0015 0.8404 1.1585 2991.8927 1.0011
w_d_t_1 18.6009 1017.3696 19.3955 -1888.3274 2067.2165 2877.3538 1.0006
w_c_t_1 14.7516 0.8609 0.0225 12.9729 16.3522 1392.9706 1.0002
y_c_t_1 5.0641 0.6444 0.0148 3.7687 6.295 1848.2588 0.9997
Node -3.7849 0.2531 0.006 -4.284 -3.3123 1860.8075 1.0015
Under_Supply -9.621 0.4117 0.0104 -10.4207 -8.8312 1367.913 1.0026
Flow 3.2377 0.5657 0.0141 2.1538 4.3597 1561.2447 1.0006
Arc -1.0864 0.1599 0.0035 -1.419 -0.7804 1950.3229 0.9997
