 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -19.8357 0.6075 0.0134 -20.9864 -18.625 1776.6349 0.9997
Rc 15.7768 0.4613 0.0098 14.8078 16.6413 2062.3304 0.9998
w_n_t_1 0.6295 0.2195 0.0045 0.1948 1.0642 2169.5722 1.0005
w_a_t_1 1.2581 0.119 0.002 1.0234 1.4853 2827.6671 0.9997
w_d_t_1 -1.4575 0.083 0.0015 -1.6392 -1.3139 2736.4052 1.0002
w_c_t_1 10.5075 0.6707 0.0145 9.1329 11.7306 1846.0596 1.0001
y_c_t_1 8.3947 0.5804 0.0122 7.2745 9.5141 2113.7919 1.0002
Node -3.77 0.2911 0.007 -4.3597 -3.2214 1994.5717 0.9998
Under_Supply -8.6951 0.4374 0.0099 -9.5217 -7.8139 1833.8521 0.9999
Flow 5.0027 0.6412 0.0155 3.797 6.2733 1800.9501 0.9997
Arc -1.9227 0.1917 0.0037 -2.3081 -1.5692 2917.9787 0.9998
