 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.3019 0.1687 0.004 -0.0122 0.635 1561.2864 1.0007
Rc 19.5235 0.3846 0.0073 18.7422 20.2583 2480.0805 0.9997
w_n_t_1 1.9123 0.1317 0.0023 1.653 2.161 3111.4177 0.9999
w_a_t_1 2.9922 0.1327 0.003 2.7323 3.25 1897.7254 1.0003
w_d_t_1 -1.2619 0.0569 0.0011 -1.3703 -1.1482 2233.0869 0.9997
w_c_t_1 -0.7546 0.2743 0.0061 -1.2964 -0.2333 1928.5333 1.0001
y_c_t_1 -1.1753 0.2669 0.0062 -1.7079 -0.6691 1930.2395 0.9998
Node -0.9867 0.1123 0.0024 -1.2194 -0.7785 2278.6377 0.9999
Under_Supply -8.6142 0.2235 0.006 -9.0556 -8.1858 1243.7512 1.0004
Flow 2.3793 0.1689 0.0038 2.0517 2.7173 1888.0516 1.0
Arc 0.0551 0.094 0.0019 -0.1296 0.2384 2630.0071 0.9998
