 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.8199 0.2218 0.0038 -6.2775 -5.3937 2565.1103 0.9998
Rc 15.7822 0.4111 0.0084 15.0131 16.6021 2334.9208 0.9997
w_n_t_1 2.0899 0.125 0.0028 1.8452 2.3329 2439.5141 0.9997
w_a_t_1 2.0259 0.1341 0.0025 1.7672 2.2871 2685.4625 0.9997
w_d_t_1 -1.2487 0.193 0.0038 -1.6386 -0.8845 2591.755 1.0
w_c_t_1 1.5015 0.3749 0.0091 0.7559 2.2104 1795.9739 0.9997
y_c_t_1 3.5604 0.3742 0.0077 2.853 4.3074 2110.5653 0.9998
Node -2.9535 0.161 0.0035 -3.2757 -2.6438 2318.5295 1.0004
Under_Supply -10.5117 0.3068 0.0083 -11.078 -9.906 1624.564 0.9998
Flow 4.8005 0.3552 0.0089 4.1008 5.4782 1730.3841 0.9998
Arc -1.0762 0.1208 0.0026 -1.3019 -0.8161 2393.9205 0.9997
