 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -10.1846 0.2821 0.0055 -10.7632 -9.6675 2276.2681 0.9998
Rc 12.0783 0.3353 0.0081 11.4319 12.7295 1895.1866 0.9997
w_n_t_1 0.2091 0.1154 0.002 -0.0118 0.4453 3699.8539 0.9997
w_a_t_1 0.6837 0.1053 0.0021 0.4722 0.8856 3120.8317 0.9997
w_d_t_1 -0.629 0.0957 0.0016 -0.8131 -0.4427 3376.5028 0.9999
w_c_t_1 8.277 0.6197 0.0153 7.0489 9.5251 1584.2223 0.9997
y_c_t_1 2.1082 0.5054 0.0114 1.1623 3.0964 2000.668 0.9998
Node -1.7613 0.1614 0.004 -2.08 -1.4479 1518.0319 1.0003
Under_Supply -5.2004 0.2661 0.008 -5.7607 -4.6973 1059.4606 1.0002
Flow 3.3028 0.3823 0.0117 2.5965 4.1063 989.5901 1.0005
Arc -0.4789 0.1182 0.0024 -0.718 -0.2589 2213.3222 0.9997
