 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.5743 0.2691 0.0047 -6.1022 -5.0644 2870.5398 0.9997
Rc 19.7724 0.524 0.0101 18.7734 20.8392 2741.9595 1.0001
w_n_t_1 0.5826 0.076 0.0013 0.4351 0.7297 3199.0901 0.9997
w_a_t_1 2.4522 0.0861 0.0018 2.2703 2.6094 2208.8309 0.9999
w_d_t_1 -0.8591 0.1058 0.0018 -1.0579 -0.6434 3341.6762 0.9997
w_c_t_1 2.8041 0.438 0.0092 1.981 3.6889 2203.32 0.9997
y_c_t_1 1.8695 0.4127 0.008 1.0276 2.6281 2632.3343 0.9997
Node -3.8974 0.2188 0.004 -4.3059 -3.4634 2148.3764 1.0
Under_Supply -14.0158 0.4155 0.0091 -14.8343 -13.2322 1732.9014 1.0
Flow 5.0079 0.5044 0.0096 4.0454 6.0061 1922.2496 0.9998
Arc -1.8408 0.1556 0.0028 -2.136 -1.5224 2680.0701 1.0003
