 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.5162 0.2083 0.0048 -3.917 -3.0961 1428.2953 0.9997
Rc 24.8015 0.5174 0.0093 23.8324 25.8184 2845.9009 0.9997
w_n_t_1 1.7572 0.0986 0.0021 1.5655 1.9512 2062.9612 1.0
w_a_t_1 1.2958 0.0884 0.0017 1.1311 1.475 2697.0283 0.9997
w_d_t_1 -11.3601 983.557 18.9355 -1784.7687 2060.1304 3074.6617 0.9999
w_c_t_1 1.0367 0.2646 0.0059 0.5313 1.5859 1521.9072 1.0
y_c_t_1 0.338 0.2234 0.0043 -0.0841 0.7678 2185.7593 1.0001
Node 0.0532 0.1005 0.0022 -0.135 0.2502 2085.7849 1.0003
Under_Supply -3.8916 0.1986 0.0046 -4.2996 -3.5299 1392.1261 0.9997
Flow 0.7798 0.1436 0.0032 0.5025 1.0639 2291.2984 0.9997
Arc 0.5728 0.0832 0.0017 0.4076 0.735 2609.3346 0.9997
