 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -12.3249 0.418 0.0098 -13.1671 -11.5315 1633.7625 0.9998
Rc 0.4289 0.1992 0.0046 0.0364 0.8129 1757.0967 0.9997
w_n_t_1 -2.207 0.1341 0.0028 -2.4671 -1.953 2290.3084 1.0001
w_a_t_1 1.5355 0.1137 0.002 1.3098 1.7495 2821.9291 0.9999
w_d_t_1 -16.9326 1012.2389 16.7464 -2158.8966 1782.3622 3030.8238 1.0001
w_c_t_1 15.6825 0.6469 0.0175 14.4797 17.0044 1330.7833 1.0002
y_c_t_1 -8.8276 0.504 0.0104 -9.8092 -7.8484 2145.154 1.0006
Node -0.6859 0.2653 0.0056 -1.1809 -0.1283 2065.1556 0.9997
Under_Supply -1.2119 0.3263 0.0083 -1.8502 -0.5952 1441.9704 0.9999
Flow 3.5746 0.4923 0.0121 2.6112 4.5215 1472.8 0.9997
Arc 1.3769 0.2029 0.0039 0.9676 1.7605 2384.6179 1.0
