 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -12.0047 0.3675 0.0088 -12.6948 -11.2719 1861.4042 1.0004
Rc 12.9004 0.3425 0.0082 12.2402 13.5784 1755.7861 0.9998
w_n_t_1 0.9672 0.1275 0.0024 0.7324 1.2196 2518.1256 1.0006
w_a_t_1 1.4336 0.0998 0.0022 1.2253 1.623 2275.94 0.9997
w_d_t_1 -18.076 980.2874 17.2573 -1999.3608 1878.1286 4196.1235 1.0001
w_c_t_1 9.6483 0.7443 0.0203 8.1793 11.0056 1306.7505 1.0016
y_c_t_1 1.6187 0.6125 0.0158 0.4229 2.8252 1538.168 1.0004
Node -0.6994 0.2135 0.005 -1.0705 -0.2366 1446.2 1.0
Under_Supply -3.431 0.3007 0.0074 -4.0462 -2.8843 1138.2071 1.0011
Flow -1.4992 0.4388 0.0123 -2.3421 -0.6486 1070.5377 1.0008
Arc -0.5208 0.1595 0.0032 -0.8513 -0.2266 2223.1041 1.0008
