 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.5447 0.5354 0.0151 -2.6629 -0.5633 1179.6885 1.0012
Rc -0.7244 0.2477 0.0058 -1.2021 -0.2345 1659.5301 0.9997
w_n_t_1 2.9813 0.2492 0.0046 2.5275 3.4929 2832.2872 0.9997
w_a_t_1 -0.5794 0.1049 0.0022 -0.7774 -0.3725 2255.6414 1.0012
w_d_t_1 10.8798 996.9035 19.7264 -1953.0055 1887.2275 2664.2192 0.9997
w_c_t_1 -1.3998 0.9468 0.025 -3.2248 0.4087 1370.5401 1.0
y_c_t_1 -4.0092 0.7956 0.0183 -5.4956 -2.4423 1589.212 0.9997
Node 0.9733 0.3253 0.008 0.327 1.5855 1689.5142 1.0004
Under_Supply -7.518 0.4441 0.0118 -8.3715 -6.6308 1456.1016 1.0007
Flow 0.4653 0.6354 0.0176 -0.7045 1.7585 1279.7222 1.0002
Arc 0.5818 0.2287 0.0048 0.1321 1.0167 1957.6089 0.9997
