 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.169 0.1473 0.0032 -3.4571 -2.8853 1827.0834 1.0002
Rc 6.2246 0.1712 0.0034 5.8728 6.5499 2378.182 0.9998
w_n_t_1 0.2528 0.0493 0.0007 0.1608 0.3537 3861.6045 1.0004
w_a_t_1 0.4004 0.0463 0.0008 0.31 0.4916 2925.588 1.0001
w_d_t_1 -35.0629 1031.4296 20.0016 -1946.0252 2048.0265 2674.2254 0.9997
w_c_t_1 3.3609 0.3821 0.0103 2.6459 4.1141 1306.4439 1.0
y_c_t_1 0.0494 0.339 0.0093 -0.6076 0.6818 1174.5095 0.9997
Node 0.0227 0.0931 0.0017 -0.1745 0.1954 2459.7046 0.9997
Under_Supply -3.1207 0.1414 0.0032 -3.3891 -2.8397 1796.8127 1.0005
Flow 0.757 0.1632 0.0038 0.465 1.0995 1954.8295 1.0001
Arc -0.4833 0.0818 0.0015 -0.6447 -0.3312 2296.6323 0.9999
