 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.3895 0.1626 0.0038 -2.7015 -2.0681 1757.5558 0.9999
Rc 13.3801 0.2788 0.0049 12.8208 13.9105 2892.8361 0.9997
w_n_t_1 1.0287 0.1082 0.0022 0.8241 1.2475 2721.1517 0.9997
w_a_t_1 1.4147 0.1109 0.0025 1.2013 1.6331 2268.1212 1.0002
w_d_t_1 -0.8627 0.0648 0.0012 -0.984 -0.7331 3101.2712 0.9999
w_c_t_1 0.7243 0.4046 0.0097 -0.0229 1.5343 1684.2985 0.9997
y_c_t_1 0.9037 0.3775 0.0087 0.1136 1.5793 2004.167 0.9997
Node -0.494 0.0894 0.0019 -0.67 -0.3186 2211.0342 1.0005
Under_Supply -4.2399 0.1733 0.0047 -4.5607 -3.8813 1442.6497 0.9997
Flow 1.6836 0.1351 0.0029 1.4197 1.9448 2340.5179 1.0003
Arc -0.0422 0.0792 0.0017 -0.1915 0.118 2227.4078 1.0003
