 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.6414 0.169 0.0041 -0.963 -0.3124 1716.3261 0.9997
Rc 9.9028 0.2092 0.004 9.4924 10.312 2764.6044 0.9998
w_n_t_1 1.4322 0.0989 0.0018 1.25 1.6389 2704.9518 0.9997
w_a_t_1 3.0155 0.0974 0.002 2.8368 3.2155 2361.2027 0.9998
w_d_t_1 11.1848 997.5648 15.4957 -2048.3642 1920.5447 3263.2494 0.9997
w_c_t_1 -1.7918 0.3863 0.0095 -2.5109 -1.0355 1421.0055 1.0016
y_c_t_1 -3.3726 0.3579 0.0079 -4.0917 -2.6821 1620.9502 1.0024
Node -0.5579 0.0908 0.0019 -0.7339 -0.3831 2286.4626 1.0
Under_Supply -3.5615 0.1558 0.0039 -3.8547 -3.2566 1494.1596 0.9998
Flow 1.2342 0.1229 0.0028 0.992 1.4738 2015.5164 0.9997
Arc 0.0343 0.0771 0.0017 -0.1158 0.18 2021.0629 1.0
