 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.2888 0.158 0.0035 -0.0156 0.5975 2187.9195 1.0
Rc 21.1685 0.3927 0.0073 20.4007 21.9131 2455.3861 1.0
w_n_t_1 0.7943 0.0852 0.0014 0.6215 0.9573 3352.5025 0.9997
w_a_t_1 2.0696 0.0903 0.0018 1.8815 2.2367 2406.9012 0.9997
w_d_t_1 -0.9394 0.0658 0.0011 -1.0697 -0.8113 3169.9027 1.0013
w_c_t_1 0.1594 0.2745 0.0058 -0.4082 0.689 1867.3708 0.9998
y_c_t_1 -0.1067 0.2727 0.0053 -0.6274 0.446 2265.4986 0.9998
Node -1.1854 0.1149 0.0024 -1.4105 -0.9591 2139.5449 1.0
Under_Supply -9.7016 0.2271 0.0059 -10.1386 -9.2442 1567.8098 0.9997
Flow 2.6408 0.1777 0.0032 2.3017 2.9815 2431.6396 0.9999
Arc -0.2246 0.0954 0.0019 -0.4045 -0.0318 2468.6222 1.0008
