 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -15.9869 0.4551 0.0091 -16.8773 -15.1229 2038.1084 0.9999
Rc 7.0424 0.2588 0.0053 6.5273 7.5311 2058.2491 0.9997
w_n_t_1 -2.047 0.1523 0.0029 -2.323 -1.7251 2299.2349 0.9997
w_a_t_1 2.3231 0.1517 0.0029 2.02 2.6067 2392.7102 0.9998
w_d_t_1 -4.5123 990.921 19.0121 -1855.3335 2035.7093 2293.9695 1.001
w_c_t_1 11.3131 0.8149 0.019 9.7941 12.9945 1662.1959 1.0006
y_c_t_1 1.7666 0.6575 0.0152 0.5049 3.0686 1695.6218 1.0005
Node -1.4843 0.2404 0.0057 -1.9912 -1.0446 1662.1173 0.9997
Under_Supply -3.4162 0.3635 0.0086 -4.1344 -2.7337 1482.618 0.9998
Flow 4.8552 0.5483 0.0124 3.8192 5.999 1482.5843 0.9997
Arc 0.3849 0.1688 0.0034 0.0571 0.7117 2299.127 0.9998
