 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -13.0668 0.3514 0.0087 -13.7419 -12.3884 1861.2593 1.0004
Rc 7.9639 0.2402 0.005 7.5017 8.4372 2025.9305 0.9998
w_n_t_1 0.491 0.1277 0.0023 0.2473 0.7433 3375.3217 0.9997
w_a_t_1 2.44 0.1268 0.0027 2.1946 2.698 2273.7946 1.0
w_d_t_1 -1.2508 983.1288 19.8562 -1837.8344 1991.4976 2896.6829 1.0
w_c_t_1 8.5189 0.6739 0.018 7.2084 9.885 1535.3813 1.0
y_c_t_1 0.2965 0.5288 0.0122 -0.7514 1.3312 1821.1995 1.0004
Node -1.3649 0.1976 0.0046 -1.7582 -0.9975 1759.1246 1.0011
Under_Supply -3.0826 0.2997 0.008 -3.727 -2.5415 1401.6961 1.0006
Flow 2.9635 0.4431 0.0114 2.0921 3.8125 1390.7273 1.002
Arc 0.4789 0.1369 0.0027 0.2013 0.7322 2128.169 0.9998
