 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.8423 0.1431 0.0031 -2.1378 -1.5747 1845.1192 1.0014
Rc 11.6218 0.2533 0.0051 11.1485 12.1268 2803.3539 1.0002
w_n_t_1 1.5417 0.1225 0.0023 1.2999 1.785 3245.4252 0.9999
w_a_t_1 2.5316 0.1218 0.0024 2.2891 2.77 2413.2037 1.0001
w_d_t_1 -1.4978 0.0539 0.0011 -1.6046 -1.3958 2849.8909 1.001
w_c_t_1 0.4533 0.3169 0.0071 -0.1655 1.0875 2013.3236 0.9997
y_c_t_1 -2.5456 0.3023 0.0066 -3.0955 -1.9344 2108.198 1.0001
Node -0.496 0.0857 0.0017 -0.6529 -0.3193 2167.9127 1.0019
Under_Supply -2.3325 0.1334 0.0032 -2.5755 -2.0616 1538.7439 1.0005
Flow 1.1022 0.1165 0.0026 0.8902 1.3458 2316.0319 0.9997
Arc 0.2951 0.0801 0.0017 0.138 0.4508 2020.7468 0.9997
