 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.488 0.1871 0.0038 -4.8595 -4.1279 2196.5072 0.9997
Rc 10.8679 0.2401 0.004 10.4252 11.3629 2950.0951 1.0001
w_n_t_1 1.506 0.0842 0.0017 1.3512 1.6791 2723.0929 0.9997
w_a_t_1 1.2528 0.0813 0.0015 1.0871 1.4046 2856.7936 1.0012
w_d_t_1 -30.2695 1011.4443 19.4611 -1949.1764 1975.6402 2898.3865 1.0006
w_c_t_1 1.272 0.4544 0.0097 0.409 2.1645 1802.6045 0.9997
y_c_t_1 2.7539 0.3934 0.0081 1.9898 3.5287 2094.0902 0.9997
Node -0.7009 0.1068 0.002 -0.9239 -0.5 2759.5293 0.9998
Under_Supply -4.4213 0.176 0.004 -4.7734 -4.0885 1811.8186 1.0
Flow 1.1033 0.18 0.0037 0.7449 1.4441 2347.0319 1.0006
Arc -0.126 0.0941 0.0019 -0.3167 0.0458 2502.1752 1.0012
