 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -33.2582 0.992 0.026 -35.2093 -31.31 1541.1165 1.0002
Rc 21.0978 0.6814 0.0162 19.8183 22.4946 2035.7295 0.9997
w_n_t_1 -1.3409 0.2323 0.0046 -1.7759 -0.8769 2362.3939 0.9997
w_a_t_1 0.4429 0.2156 0.0044 0.0215 0.8555 2286.9982 0.9997
w_d_t_1 -28.6148 1014.1438 19.6718 -1900.7057 1996.0834 2662.0829 0.9997
w_c_t_1 28.8092 1.0987 0.0294 26.5068 30.8036 1530.8667 1.0012
y_c_t_1 8.5058 0.7234 0.0166 7.1819 9.9834 2019.6111 1.0003
Node -5.6189 0.4258 0.0098 -6.4667 -4.7881 1869.0515 0.9997
Under_Supply -12.2208 0.6726 0.0164 -13.6222 -10.9853 1548.061 0.9998
Flow 6.7964 0.8889 0.0215 5.1255 8.6114 1699.6997 0.9997
Arc -1.7778 0.237 0.0049 -2.2386 -1.3227 2052.9252 1.0002
