 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.8105 0.2692 0.0049 -9.3012 -8.2612 2907.6009 0.9997
Rc 4.1929 0.1753 0.0034 3.8622 4.5397 2569.3466 0.9998
w_n_t_1 -0.2478 0.1533 0.0028 -0.528 0.068 2973.6003 1.0013
w_a_t_1 3.5445 0.136 0.0027 3.2917 3.8079 2920.017 1.0017
w_d_t_1 33.6827 994.7757 16.0693 -1902.7925 1921.3151 3782.9265 1.0
w_c_t_1 2.1525 0.4601 0.0092 1.271 3.0363 2126.0333 0.9999
y_c_t_1 -0.5876 0.3777 0.0075 -1.2939 0.2054 2630.0538 1.0007
Node -1.0513 0.1812 0.0035 -1.3926 -0.6944 2362.9103 0.9997
Under_Supply -3.4533 0.2688 0.0059 -3.9832 -2.944 1867.7966 1.0007
Flow 5.0867 0.3806 0.0088 4.3089 5.7888 1853.9204 1.0004
Arc 0.3126 0.1543 0.0029 -0.0065 0.5898 2341.4103 0.9998
