 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.988 0.1489 0.0034 -2.3027 -1.7268 2145.7504 0.9997
Rc 11.8861 0.2484 0.0044 11.4308 12.3983 2927.3074 1.0008
w_n_t_1 0.4052 0.1206 0.0021 0.1652 0.6306 2877.4552 0.9998
w_a_t_1 3.013 0.114 0.0024 2.8053 3.2512 2293.0423 1.0018
w_d_t_1 12.972 998.1515 16.5597 -1939.3299 1923.207 2941.5823 0.9997
w_c_t_1 2.0356 0.3583 0.0092 1.3179 2.7105 1529.7313 1.0001
y_c_t_1 -2.9282 0.3582 0.0095 -3.631 -2.2256 1547.6726 1.0007
Node -0.8797 0.1213 0.0024 -1.1198 -0.6442 2415.8171 1.001
Under_Supply -5.847 0.1606 0.004 -6.175 -5.5457 1722.1252 0.9997
Flow 1.1901 0.1851 0.004 0.8346 1.5412 2070.6565 0.9997
Arc -0.2575 0.099 0.0024 -0.4542 -0.0701 1777.682 1.0019
