 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.5689 0.6454 0.015 -9.7523 -7.2767 1676.9572 1.0021
Rc 134.7222 3.7152 0.0754 127.8253 142.3296 2162.2245 0.9998
w_n_t_1 1.2624 0.1416 0.0027 0.9824 1.5353 2283.6054 0.9999
w_a_t_1 2.0457 0.1632 0.0032 1.7122 2.3412 2119.9386 0.9997
w_d_t_1 -2.3225 0.1073 0.0023 -2.5267 -2.1146 2293.2078 0.9997
w_c_t_1 0.7613 0.3599 0.0074 0.0842 1.481 2136.9836 1.0012
y_c_t_1 -0.6448 0.3521 0.0081 -1.2909 0.0745 1804.8436 1.0001
Node 0.1421 0.1463 0.0028 -0.1415 0.4358 2487.4006 1.0008
Under_Supply 3.8611 0.6495 0.0147 2.5984 5.1 1799.3361 1.0017
Flow -0.315 0.1663 0.0032 -0.6344 0.0135 2423.4332 0.9997
Arc -0.1072 0.1399 0.0024 -0.3843 0.1534 3097.1001 0.9997
