 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.1826 0.1893 0.0043 -0.5592 0.1835 1933.6582 1.0002
Rc 32.3598 0.6833 0.0135 31.0749 33.7277 2531.8731 1.0002
w_n_t_1 1.7159 0.166 0.0033 1.3864 2.0305 2705.0432 0.9999
w_a_t_1 1.6301 0.1579 0.0033 1.3281 1.9326 1921.9226 1.0024
w_d_t_1 -0.9149 0.0652 0.0013 -1.0377 -0.7852 2906.6791 0.9997
w_c_t_1 0.7299 0.3353 0.0075 0.0734 1.3696 1937.3137 0.9998
y_c_t_1 1.2936 0.3173 0.0072 0.6983 1.9069 1720.6386 1.0009
Node -0.4378 0.1111 0.0025 -0.652 -0.2191 2160.198 1.0026
Under_Supply -9.6338 0.2932 0.0075 -10.1887 -9.0633 1456.6026 0.9997
Flow 2.9149 0.1779 0.0035 2.5693 3.2688 2301.5703 0.9998
Arc -0.1115 0.0994 0.0018 -0.314 0.0765 2237.3257 1.0019
