 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.3707 0.1713 0.0044 0.0328 0.7058 1456.1343 1.0005
Rc 15.8997 0.3335 0.0067 15.2496 16.543 2669.7224 0.9997
w_n_t_1 0.5806 0.1148 0.0024 0.3479 0.7948 3119.5763 0.9999
w_a_t_1 2.1435 0.105 0.0022 1.9498 2.356 2205.2462 1.0001
w_d_t_1 -1.3139 0.0598 0.0013 -1.4259 -1.1964 2479.938 1.0001
w_c_t_1 -0.3864 0.2739 0.0068 -0.9227 0.165 1671.411 0.9998
y_c_t_1 0.2483 0.2717 0.0056 -0.2833 0.7906 2062.8001 0.9997
Node -1.1423 0.1095 0.0027 -1.3485 -0.9201 1864.378 0.9997
Under_Supply -7.607 0.1951 0.0057 -7.9915 -7.2353 1212.6322 0.9997
Flow 2.0376 0.1648 0.004 1.7062 2.3444 1859.1415 0.9999
Arc -0.0389 0.0898 0.0018 -0.2099 0.1413 2539.1934 0.9998
