 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -13.8097 0.4722 0.0128 -14.7661 -12.9585 1391.0268 0.9997
Rc 14.6025 0.4252 0.0096 13.7733 15.4152 2119.0643 1.0007
w_n_t_1 0.6173 0.1156 0.0023 0.3934 0.8463 2174.1776 1.0004
w_a_t_1 0.8213 0.1116 0.0023 0.6111 1.0503 2566.2762 0.9997
w_d_t_1 -1.6203 0.0956 0.0013 -1.8141 -1.4349 3168.0694 0.9999
w_c_t_1 6.9041 0.5363 0.0127 5.9011 7.9606 1684.1694 1.0003
y_c_t_1 6.1805 0.392 0.0093 5.4295 6.9456 2121.7689 0.9997
Node -5.1752 0.2491 0.006 -5.6411 -4.6685 1474.7322 1.0022
Under_Supply -11.0967 0.3663 0.0095 -11.7684 -10.3648 1217.6452 1.0041
Flow 6.9446 0.5756 0.0158 5.7898 8.023 1104.1347 1.0046
Arc -2.2818 0.1698 0.0038 -2.6301 -1.962 1867.9105 1.0022
