 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -23.7816 0.7277 0.0172 -25.2332 -22.3937 1918.6319 0.9997
Rc 21.2019 0.6836 0.015 19.8562 22.5582 2009.0725 1.0009
w_n_t_1 -0.3305 0.1686 0.0032 -0.6665 0.0029 3010.8684 1.0001
w_a_t_1 0.4454 0.1774 0.0031 0.0975 0.7848 2548.0757 1.0002
w_d_t_1 -0.7293 0.1018 0.0019 -0.9279 -0.532 2465.2013 0.9999
w_c_t_1 22.9146 0.9628 0.0245 21.166 24.8507 1712.9534 0.9997
y_c_t_1 3.958 0.6757 0.0136 2.6161 5.2833 2050.0329 0.9998
Node -4.5209 0.3839 0.0082 -5.2812 -3.8038 1972.9179 0.9997
Under_Supply -10.667 0.5863 0.013 -11.8675 -9.6267 1686.4683 0.9998
Flow 3.9668 0.8067 0.0193 2.454 5.5456 1597.3375 1.0001
Arc -1.6061 0.2233 0.0048 -2.0606 -1.1944 2304.6572 0.9998
