 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -24.6178 0.7259 0.0203 -26.1127 -23.2779 1401.1559 1.0013
Rc 20.9972 0.6455 0.0143 19.7334 22.2527 1867.9426 1.001
w_n_t_1 0.7954 0.1237 0.0023 0.5572 1.0405 2782.6017 1.0005
w_a_t_1 0.873 0.0918 0.0017 0.6928 1.0491 2686.5492 0.9997
w_d_t_1 5.6757 1022.4326 16.5877 -1974.5558 2006.0023 3264.8014 1.0002
w_c_t_1 21.1753 0.9111 0.0242 19.3565 22.927 1589.3678 1.0006
y_c_t_1 4.3685 0.5668 0.0132 3.2955 5.475 1818.0613 1.0001
Node -4.9794 0.4158 0.0122 -5.7256 -4.1164 1243.2252 1.001
Under_Supply -11.4577 0.6008 0.0177 -12.6271 -10.3325 1159.6792 1.0002
Flow 3.9095 0.8127 0.0238 2.2983 5.4607 1174.1403 0.9997
Arc -1.2385 0.2246 0.0046 -1.6895 -0.8039 2052.3962 0.9998
