 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -13.0609 0.3926 0.0088 -13.8079 -12.3021 1771.9934 0.9997
Rc 18.3725 0.5329 0.0103 17.3329 19.4015 2493.9701 0.9997
w_n_t_1 0.7529 0.0837 0.0015 0.5965 0.918 3318.7296 0.9998
w_a_t_1 1.4899 0.0855 0.0015 1.3259 1.6582 2514.2144 0.9997
w_d_t_1 8.2418 950.9375 16.3046 -1789.5733 1981.0735 3200.413 0.9997
w_c_t_1 12.4497 0.64 0.0143 11.1943 13.6365 1706.944 0.9998
y_c_t_1 -0.1201 0.4978 0.0103 -1.0596 0.9001 1878.7751 0.9999
Node -4.6208 0.2915 0.0061 -5.1874 -4.0752 1862.5162 1.0007
Under_Supply -13.2922 0.489 0.0111 -14.2183 -12.3111 1372.7735 1.0004
Flow 5.5253 0.6185 0.0136 4.3896 6.821 1735.4884 1.0
Arc -1.8165 0.1894 0.0036 -2.1991 -1.4542 2204.6265 1.0002
