 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -23.5819 0.7506 0.0178 -24.9909 -22.013 1325.886 0.9998
Rc 20.1859 0.664 0.0155 18.97 21.5485 1799.3202 0.9999
w_n_t_1 0.0368 0.1301 0.0027 -0.2154 0.2915 2299.711 0.9998
w_a_t_1 0.7135 0.1543 0.0031 0.4257 1.0248 2352.5136 1.0006
w_d_t_1 7.8539 962.5294 16.6387 -1821.2328 1964.4988 2954.7943 1.0001
w_c_t_1 20.9508 1.0018 0.0246 18.982 22.8947 1150.7343 0.9997
y_c_t_1 5.7163 0.7278 0.0174 4.3731 7.2555 1592.2387 1.0
Node -3.0545 0.3985 0.0091 -3.8049 -2.247 1810.0341 0.9997
Under_Supply -7.9944 0.5941 0.0165 -9.1198 -6.851 1216.6035 0.9997
Flow -0.7656 0.7949 0.0205 -2.2328 0.8252 1423.2241 1.0
Arc -0.6772 0.2578 0.006 -1.1999 -0.1849 1758.3413 0.9997
