 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -11.7612 0.8214 0.0204 -13.367 -10.1508 1427.2801 0.9997
Rc 140.5739 4.4297 0.0865 132.0947 149.3555 2434.48 1.0002
w_n_t_1 2.3669 0.2641 0.0056 1.8763 2.8978 1828.8768 0.9997
w_a_t_1 3.4029 0.2461 0.0058 2.8981 3.8532 1868.6157 1.0009
w_d_t_1 -6.0382 996.4311 14.5107 -1879.0113 2041.0557 3918.3461 1.0
w_c_t_1 0.1068 0.4826 0.0117 -0.8674 1.0103 1439.5894 1.0
y_c_t_1 -1.1978 0.4502 0.0111 -2.1055 -0.3645 1575.858 1.0005
Node -0.2277 0.1623 0.0034 -0.5491 0.0777 2079.4416 0.9997
Under_Supply 6.0131 0.82 0.0206 4.4142 7.6294 1387.3444 0.9997
Flow -0.2047 0.17 0.0036 -0.5483 0.1245 2304.6198 0.9998
Arc -0.41 0.1698 0.0034 -0.7574 -0.0854 2378.2516 0.9997
