 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.8865 0.6329 0.0161 -10.1864 -7.7047 1489.6405 0.9998
Rc 97.3201 2.7963 0.0429 91.8484 102.6925 3970.8441 0.9999
w_n_t_1 0.4955 0.1251 0.0019 0.2474 0.7263 4095.8343 0.9999
w_a_t_1 0.7194 0.1261 0.0022 0.4739 0.959 3611.8298 0.9999
w_d_t_1 -37.9685 996.0255 16.4143 -1886.6937 2005.6506 3772.5432 0.9997
w_c_t_1 -0.5254 0.6581 0.0146 -1.7793 0.8239 1925.592 1.0002
y_c_t_1 3.7227 0.6224 0.0132 2.4811 4.9026 2085.7447 0.9999
Node -0.1829 0.1344 0.0026 -0.4312 0.0925 2497.5997 0.9998
Under_Supply 3.4511 0.631 0.016 2.2951 4.7787 1520.4634 0.9997
Flow 0.1404 0.1533 0.0026 -0.1671 0.4295 3058.0636 0.9997
Arc -0.1707 0.1321 0.0023 -0.4263 0.0893 3171.3048 0.9997
