 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -6.7595 0.2449 0.0049 -7.2343 -6.2862 2475.8034 1.0
Rc 12.3385 0.3351 0.0059 11.6814 12.9942 2844.1869 1.0003
w_n_t_1 1.824 0.1523 0.0028 1.5149 2.1118 2927.6372 1.0001
w_a_t_1 2.8379 0.1514 0.0032 2.5285 3.1178 2564.7851 0.9999
w_d_t_1 -1.3608 0.0671 0.0013 -1.4901 -1.2326 3004.8649 1.0009
w_c_t_1 1.9492 0.3921 0.0093 1.174 2.7123 1983.9175 0.9998
y_c_t_1 1.9843 0.3904 0.0077 1.203 2.7488 2735.9649 1.0
Node -2.5667 0.1753 0.0039 -2.9039 -2.2346 1844.2632 1.0005
Under_Supply -8.284 0.3066 0.0083 -8.8768 -7.6984 1327.8139 1.0005
Flow 4.7332 0.4137 0.0106 3.9494 5.5536 1452.3202 0.9998
Arc -0.9171 0.1322 0.0029 -1.1735 -0.6642 2066.291 0.9997
