 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -25.2605 0.752 0.0178 -26.7578 -23.773 1593.8506 0.9997
Rc 23.4913 0.7648 0.0168 22.0559 25.0185 2091.5983 0.9997
w_n_t_1 -0.3121 0.1392 0.0023 -0.5736 -0.04 3041.2875 0.9997
w_a_t_1 0.3117 0.1461 0.0028 0.026 0.5976 2747.2187 0.9997
w_d_t_1 -20.5231 987.6139 19.0607 -1959.3863 1850.7157 2489.5013 0.9997
w_c_t_1 23.2153 0.9527 0.023 21.3754 25.0478 1617.7099 1.0001
y_c_t_1 5.6447 0.6509 0.0143 4.3627 6.8928 1709.2168 1.0006
Node -5.1593 0.424 0.0107 -5.9483 -4.2871 1510.008 1.002
Under_Supply -13.2915 0.6636 0.0187 -14.5624 -11.9714 1239.7046 1.0016
Flow 3.5098 0.8892 0.024 1.695 5.0847 1343.4639 1.0005
Arc -1.6185 0.2452 0.0059 -2.0901 -1.1348 1836.7257 1.0002
