 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 1.7824 0.1988 0.0064 1.3965 2.1644 863.1654 1.0037
Rc 15.6237 0.3494 0.0066 14.9592 16.3001 2741.257 1.0
w_n_t_1 1.073 0.0743 0.0013 0.929 1.223 2731.147 1.0
w_a_t_1 2.0756 0.0794 0.0016 1.9219 2.227 2223.2796 0.9999
w_d_t_1 -3.3589 980.9074 17.8989 -1910.7271 1933.2111 3057.5115 0.9997
w_c_t_1 -1.5622 0.3997 0.012 -2.3625 -0.7969 807.3818 1.0059
y_c_t_1 -1.2848 0.3694 0.0094 -2.0269 -0.6058 1436.3499 1.003
Node -0.6679 0.0877 0.002 -0.8464 -0.5079 2180.9008 0.9997
Under_Supply -6.3203 0.2031 0.0068 -6.7301 -5.9289 916.0219 1.0032
Flow 1.3524 0.1226 0.0028 1.1272 1.5982 1901.8456 1.0004
Arc -0.2188 0.0774 0.0018 -0.3622 -0.0613 2146.8425 1.0001
