 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.3901 0.2259 0.0051 -3.8376 -2.9527 1664.6643 0.9997
Rc 28.7754 0.5798 0.0113 27.5867 29.8508 2264.2642 1.002
w_n_t_1 -0.505 0.1141 0.0023 -0.7364 -0.2976 2394.2513 1.0004
w_a_t_1 0.2978 0.1048 0.0019 0.0955 0.5035 2988.3331 0.9998
w_d_t_1 -16.0745 996.5748 14.9519 -1854.8684 2019.3723 3496.5511 0.9997
w_c_t_1 5.5595 0.4855 0.0115 4.6514 6.5362 1447.9662 0.9997
y_c_t_1 0.9365 0.4325 0.0091 0.1022 1.765 1581.0104 1.0001
Node -0.324 0.0997 0.0018 -0.5224 -0.1345 2325.898 0.9998
Under_Supply -6.101 0.2703 0.0062 -6.6304 -5.5641 1627.1159 0.9997
Flow 2.8086 0.1591 0.0031 2.4759 3.0943 2416.9578 1.0006
Arc -0.0422 0.0898 0.002 -0.2087 0.1334 1937.7478 0.9997
