 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.9156 0.2851 0.0067 -8.4968 -7.3874 1952.6571 0.9998
Rc 13.484 0.4229 0.0079 12.621 14.2586 2693.9616 0.9999
w_n_t_1 0.0935 0.1288 0.0023 -0.1584 0.3545 2904.3386 0.9999
w_a_t_1 2.3894 0.1169 0.0022 2.1635 2.6189 2826.8546 0.9998
w_d_t_1 -12.1652 1040.536 19.8176 -2067.3549 1990.2529 3659.3458 0.9997
w_c_t_1 6.4296 0.5157 0.0128 5.4402 7.4501 1561.8932 0.9997
y_c_t_1 -0.7729 0.4595 0.0105 -1.6685 0.0873 1868.7081 0.9998
Node -3.8395 0.2476 0.0058 -4.3324 -3.3622 1676.6899 0.9997
Under_Supply -10.501 0.3922 0.0101 -11.2553 -9.7128 1341.0777 0.9997
Flow 5.5982 0.5899 0.0152 4.4436 6.7276 1364.3629 0.9998
Arc -1.4264 0.1612 0.0031 -1.7395 -1.1083 2452.7841 1.0
