 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -15.2932 0.4579 0.0111 -16.1555 -14.4123 1440.3933 1.0006
Rc 0.6367 0.2176 0.0047 0.2097 1.0623 1937.8184 1.0006
w_n_t_1 -3.3535 0.1558 0.0031 -3.6476 -3.0469 2289.701 1.0
w_a_t_1 2.9961 0.1425 0.0026 2.7263 3.2776 2345.5599 0.9997
w_d_t_1 -27.8322 1003.7163 18.3479 -2047.1973 1868.375 2891.629 0.9999
w_c_t_1 18.6032 0.8065 0.0215 17.1448 20.2572 1188.5303 1.0005
y_c_t_1 -10.0549 0.6405 0.0131 -11.3105 -8.7728 1757.838 0.9998
Node -1.5452 0.2925 0.006 -2.1508 -1.0095 1928.2003 1.0001
Under_Supply -1.0704 0.3617 0.0096 -1.7131 -0.3039 1260.4397 1.0
Flow 5.1647 0.5242 0.0131 4.1021 6.1826 1374.8399 0.9998
Arc 1.4703 0.2344 0.0051 1.0519 1.9586 1890.5634 1.0002
