 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.2152 0.1329 0.0025 -1.4837 -0.9619 2182.6233 1.0004
Rc 11.0273 0.2241 0.0039 10.622 11.487 3370.0375 0.9998
w_n_t_1 1.2791 0.089 0.0014 1.1016 1.4488 3307.2121 0.9999
w_a_t_1 2.7018 0.0991 0.002 2.5149 2.9036 2322.1772 0.9999
w_d_t_1 15.6006 965.364 14.9064 -1686.9078 2074.9913 3553.7479 0.9997
w_c_t_1 0.3263 0.3198 0.0068 -0.2468 0.9991 1879.3427 1.0004
y_c_t_1 -2.4804 0.3106 0.0065 -3.0935 -1.867 2091.7572 0.9997
Node -0.5834 0.0934 0.0021 -0.7557 -0.3956 2285.9771 1.0001
Under_Supply -4.5813 0.1369 0.0029 -4.8456 -4.313 1814.8536 1.0012
Flow 0.9857 0.1331 0.0028 0.7354 1.2531 2260.936 1.0004
Arc -0.0648 0.0837 0.0018 -0.2369 0.088 2273.0881 0.9997
