 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.8074 0.4745 0.0101 -1.7218 0.1293 2003.6712 0.9997
Rc 67.9794 1.7702 0.032 64.4615 71.3419 2602.2468 0.9998
w_n_t_1 2.737 0.1797 0.0034 2.3816 3.0796 2262.2009 1.0002
w_a_t_1 2.8799 0.1802 0.0036 2.5167 3.2199 2171.8331 1.0001
w_d_t_1 -2.0533 0.0886 0.0017 -2.2296 -1.88 2436.7489 0.9997
w_c_t_1 -1.8802 0.3513 0.0064 -2.6141 -1.2612 2000.691 1.0
y_c_t_1 -1.9175 0.3274 0.0067 -2.5566 -1.2759 2134.2978 0.9997
Node 0.6002 0.1175 0.0022 0.3683 0.8309 2537.2002 1.0012
Under_Supply -2.972 0.4683 0.0102 -3.8627 -2.0399 1917.3576 0.9999
Flow 0.2072 0.1399 0.0028 -0.0482 0.4855 2539.4847 1.001
Arc 0.7948 0.1058 0.0019 0.5871 0.9915 2696.4256 0.9997
