 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -9.7056 0.4143 0.0093 -10.5217 -8.9279 1994.0844 1.0003
Rc 16.6753 0.4832 0.0099 15.7472 17.6324 2245.7052 0.9999
w_n_t_1 0.5552 0.2419 0.0047 0.0979 1.0464 2348.7695 0.9999
w_a_t_1 3.6219 0.1347 0.0026 3.359 3.8773 2349.8487 1.0008
w_d_t_1 -22.1402 1020.7361 17.8746 -2027.2353 1904.8523 3401.7285 0.9998
w_c_t_1 8.1354 0.7402 0.0178 6.7471 9.6495 1559.9686 1.0005
y_c_t_1 -0.862 0.6055 0.0141 -2.0366 0.314 1660.9911 1.0003
Node -3.6679 0.2596 0.0056 -4.1757 -3.1677 1781.4759 1.0009
Under_Supply -10.5234 0.4168 0.0105 -11.3396 -9.7279 1477.0128 1.0002
Flow 3.2331 0.6252 0.0161 1.9176 4.4131 1444.9978 1.0001
Arc -1.2636 0.1719 0.0036 -1.6053 -0.9409 2362.4507 0.9997
