 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.0866 0.1529 0.003 -3.3687 -2.7733 1865.1015 1.0012
Rc 7.6385 0.185 0.0033 7.2768 7.9952 2529.0055 1.0005
w_n_t_1 0.2766 0.0718 0.0016 0.1418 0.4229 2495.4171 0.9998
w_a_t_1 1.5375 0.0708 0.0013 1.4058 1.6808 2680.5257 0.9999
w_d_t_1 1.4552 1036.6802 18.0485 -1996.7833 1990.7898 2980.1797 1.001
w_c_t_1 2.6171 0.393 0.0078 1.8439 3.3508 1957.1978 1.0021
y_c_t_1 -0.3217 0.3515 0.0067 -1.0627 0.3193 2206.9506 1.0016
Node -0.2242 0.0803 0.0016 -0.3784 -0.0665 2313.5017 0.9998
Under_Supply -2.4338 0.1433 0.0029 -2.7139 -2.1549 1724.3925 0.9998
Flow 0.8391 0.1272 0.0025 0.5998 1.0961 2267.5526 0.9998
Arc -0.1646 0.0734 0.0014 -0.31 -0.027 2314.7774 1.0003
