 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -10.3134 0.3212 0.0056 -10.9314 -9.6881 2190.3996 0.9997
Rc 13.9615 0.3768 0.0065 13.2647 14.7119 2304.527 0.9997
w_n_t_1 1.303 0.0721 0.0014 1.16 1.4405 3195.9386 0.9997
w_a_t_1 1.6231 0.0732 0.0013 1.4747 1.7604 3000.8571 1.0008
w_d_t_1 -51.6193 985.8469 19.4981 -2026.0928 1727.5487 2856.1992 0.9998
w_c_t_1 6.1147 0.6467 0.0153 4.898 7.3865 1485.5647 0.9997
y_c_t_1 3.008 0.5101 0.0115 2.0321 3.9924 1764.0443 0.9997
Node -2.4735 0.1996 0.0043 -2.8673 -2.1014 1515.5336 0.9999
Under_Supply -8.5104 0.3361 0.0086 -9.1716 -7.8615 1297.5005 0.9997
Flow 3.4794 0.4762 0.0113 2.549 4.4312 1305.9146 0.9997
Arc -1.0156 0.1442 0.0029 -1.3176 -0.7459 2109.2739 1.0003
