 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.7834 0.1724 0.0039 -2.1028 -1.4291 1756.713 1.0
Rc 11.7828 0.2582 0.0051 11.2719 12.2869 2622.5567 1.0002
w_n_t_1 1.3804 0.1166 0.0022 1.1496 1.6106 2779.9883 0.9997
w_a_t_1 2.6251 0.1224 0.0022 2.3872 2.8738 2659.8176 0.9997
w_d_t_1 -0.4083 0.098 0.002 -0.6031 -0.2262 2243.9218 0.9997
w_c_t_1 0.7476 0.3332 0.008 0.0728 1.3842 1670.1218 1.0
y_c_t_1 -2.2784 0.3429 0.0073 -2.9612 -1.6218 2022.1018 0.9997
Node -0.793 0.1085 0.0022 -1.008 -0.5818 2438.2877 1.0
Under_Supply -5.1967 0.1509 0.0033 -5.4944 -4.8985 1966.4427 0.9998
Flow 1.4352 0.1675 0.0034 1.1101 1.7565 2430.6062 1.0007
Arc -0.1901 0.0925 0.0018 -0.3637 0.0012 2747.7286 1.0014
