 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.3714 0.2114 0.0046 -2.7851 -1.9595 1785.9718 1.0004
Rc 25.2672 0.5489 0.0101 24.1221 26.2706 2698.1142 1.0011
w_n_t_1 1.3459 0.1257 0.0024 1.105 1.5882 2625.7562 0.9998
w_a_t_1 1.9604 0.132 0.0024 1.7191 2.2284 2823.0579 1.0005
w_d_t_1 -1.6516 0.0976 0.0021 -1.8489 -1.4692 2173.9548 0.9997
w_c_t_1 1.2035 0.4517 0.0096 0.3351 2.1118 1922.049 0.9997
y_c_t_1 -0.3585 0.4238 0.009 -1.1731 0.5059 2106.4559 0.9997
Node -0.438 0.1011 0.0018 -0.6305 -0.2435 2486.1571 0.9997
Under_Supply -3.9364 0.2455 0.0057 -4.4226 -3.4617 1659.958 1.0004
Flow 1.7668 0.1435 0.003 1.4809 2.041 2147.4755 1.0001
Arc -0.172 0.0868 0.0015 -0.3368 -0.001 2562.601 1.0012
