 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.5592 0.19 0.0039 -0.9171 -0.1927 1879.3925 1.0013
Rc 13.025 0.2708 0.0053 12.5216 13.5673 2645.598 0.9999
w_n_t_1 1.8907 0.1164 0.0022 1.6626 2.1178 2529.724 0.9999
w_a_t_1 5.0142 0.1223 0.0025 4.7824 5.2561 2501.2961 1.0006
w_d_t_1 6.8404 997.0549 18.7681 -1916.1221 1925.8521 2997.5998 1.0002
w_c_t_1 -0.3359 0.4423 0.0094 -1.2191 0.4936 1658.5261 1.0019
y_c_t_1 -4.5833 0.3967 0.0077 -5.339 -3.8038 2104.8995 1.002
Node -0.8639 0.1042 0.0023 -1.0742 -0.6644 2308.744 0.9997
Under_Supply -6.4165 0.195 0.0044 -6.8016 -6.0538 1689.8931 0.9997
Flow 1.6545 0.1491 0.0033 1.352 1.9244 2238.7817 1.0011
Arc -0.1252 0.0892 0.0017 -0.3035 0.0547 2256.5273 0.9997
