 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.8558 0.1653 0.004 -4.1787 -3.5319 1729.4549 1.0004
Rc 6.3905 0.1609 0.0027 6.0741 6.7228 2883.4406 0.9997
w_n_t_1 1.6714 0.102 0.0019 1.4665 1.871 2548.7096 0.9997
w_a_t_1 2.8266 0.0957 0.0017 2.6334 3.0107 2670.8921 1.0012
w_d_t_1 -19.6976 1008.1965 20.2957 -1827.2119 2110.6896 2441.3096 1.0014
w_c_t_1 1.5955 0.42 0.0101 0.7298 2.3811 1598.0138 0.9997
y_c_t_1 -3.5121 0.3769 0.0084 -4.2739 -2.767 1901.1468 1.0012
Node -0.4619 0.1052 0.0022 -0.6812 -0.2729 2463.1811 0.9997
Under_Supply -1.7021 0.1439 0.0036 -1.9978 -1.439 1525.7347 1.0012
Flow 0.6811 0.1468 0.0031 0.3988 0.9633 2354.6964 1.001
Arc 0.1337 0.0909 0.002 -0.0346 0.3176 2160.8687 1.0008
