 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.8786 0.2132 0.005 -4.2539 -3.4322 1828.4181 0.9998
Rc 25.3905 0.5135 0.0108 24.4142 26.4395 2191.3827 0.9997
w_n_t_1 0.6789 0.0635 0.0012 0.555 0.7987 3082.5548 0.9999
w_a_t_1 0.6573 0.0623 0.0013 0.5427 0.788 2830.9036 0.9997
w_d_t_1 34.5897 1017.9163 18.5529 -1918.882 1998.611 3676.9178 1.0004
w_c_t_1 2.5177 0.2671 0.006 1.9568 2.9984 1908.1243 0.9997
y_c_t_1 0.962 0.2312 0.0046 0.5148 1.4042 2299.5817 0.9998
Node 0.0246 0.1093 0.0022 -0.1751 0.2412 2142.866 1.0001
Under_Supply -3.7178 0.1946 0.0044 -4.1295 -3.3691 1809.3402 0.9997
Flow 0.2613 0.1548 0.0034 -0.0438 0.5615 1984.3315 1.0
Arc 0.7262 0.0843 0.0018 0.5656 0.8967 2453.1258 1.0012
